Fact,Fact Note,UNITED STATES
"Population estimates, July 1, 2016,  (V2016)",,"323,127,513"
"Population estimates base, April 1, 2010,  (V2016)",,"308,758,105"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)",,4.70%
"Population, Census, April 1, 2010",,"308,745,538"
"Persons under 5 years, percent, July 1, 2016,  (V2016)",,6.20%
"Persons under 5 years, percent, April 1, 2010",,6.50%
"Persons under 18 years, percent, July 1, 2016,  (V2016)",,22.80%
"Persons under 18 years, percent, April 1, 2010",,24.00%
"Persons 65 years and over, percent,  July 1, 2016,  (V2016)",,15.20%
"Persons 65 years and over, percent, April 1, 2010",,13.00%
"Female persons, percent,  July 1, 2016,  (V2016)",,50.80%
"Female persons, percent, April 1, 2010",,50.80%
"White alone, percent, July 1, 2016,  (V2016)",(a),76.90%
"Black or African American alone, percent, July 1, 2016,  (V2016)",(a),13.30%
"American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)",(a),1.30%
"Asian alone, percent, July 1, 2016,  (V2016)",(a),5.70%
"Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)",(a),0.20%
"Two or More Races, percent, July 1, 2016,  (V2016)",,2.60%
"Hispanic or Latino, percent, July 1, 2016,  (V2016)",(b),17.80%
"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)",,61.30%
"Veterans, 2011-2015",,"20,108,332"
"Foreign born persons, percent, 2011-2015",,13.20%
"Housing units,  July 1, 2016,  (V2016)",,"135,697,926"
"Housing units, April 1, 2010",,"131,704,730"
"Owner-occupied housing unit rate, 2011-2015",,63.90%
"Median value of owner-occupied housing units, 2011-2015",,"$178,600 "
"Median selected monthly owner costs -with a mortgage, 2011-2015",,"$1,492 "
"Median selected monthly owner costs -without a mortgage, 2011-2015",,$458 
"Median gross rent, 2011-2015",,$928 
"Building permits, 2016",,"1,206,642"
"Households, 2011-2015",,"116,926,305"
"Persons per household, 2011-2015",,2.64
"Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015",,85.10%
"Language other than English spoken at home, percent of persons age 5 years+, 2011-2015",,21.00%
"High school graduate or higher, percent of persons age 25 years+, 2011-2015",,86.70%
"Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015",,29.80%
"With a disability, under age 65 years, percent, 2011-2015",,8.60%
"Persons  without health insurance, under age 65 years, percent",,10.10%
"In civilian labor force, total, percent of population age 16 years+, 2011-2015",,63.30%
"In civilian labor force, female, percent of population age 16 years+, 2011-2015",,58.50%
"Total accommodation and food services sales, 2012 ($1,000)",(c),"708,138,598"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"2,040,441,203"
"Total manufacturers shipments, 2012 ($1,000)",(c),"5,696,729,632"
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"5,208,023,478"
"Total retail sales, 2012 ($1,000)",(c),"4,219,821,871"
"Total retail sales per capita, 2012",(c),"$13,443 "
"Mean travel time to work (minutes), workers age 16 years+, 2011-2015",,25.9
"Median household income (in 2015 dollars), 2011-2015",,"$53,889 "
"Per capita income in past 12 months (in 2015 dollars), 2011-2015",,"$28,930 "
"Persons in poverty, percent",,12.70%
"Total employer establishments, 2015",,"7,663,938"
"Total employment, 2015",,"124,085,947"
"Total annual payroll, 2015 ($1,000)",,"6,253,488,252"
"Total employment, percent change, 2014-2015",,2.50%
"Total nonemployer establishments, 2015",,"24,331,403"
"All firms, 2012",,"27,626,360"
"Men-owned firms, 2012",,"14,844,597"
"Women-owned firms, 2012",,"9,878,397"
"Minority-owned firms, 2012",,"7,952,386"
"Nonminority-owned firms, 2012",,"18,987,918"
"Veteran-owned firms, 2012",,"2,521,682"
"Nonveteran-owned firms, 2012",,"24,070,685"
"Population per square mile, 2010",,87.4
"Land area in square miles, 2010",,"3,531,905.43"
,,
,,
Fact Notes,,
(a)  Includes persons reporting only one race,,
"(b)  Hispanics may be of any race, so also are included in applicable race categories",,
(c)  Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,
