STATE,TOTAL VOTES ,Democrat Votes,Democrat Vote %,Republican Votes,Republican Vote %,Green Votes,Green Vote %
Alabama,"1,666,272","692,611",41.6,"941,173",56.5,"18,323",1.1
Alaska,"285,560","79,004",27.7,"167,398",58.6,"28,747",10.1
Arizona,"1,532,016","685,341",44.7,"781,652",51,"45,645",3
Arkansas,"921,781","422,768",45.9,"472,940",51.3,"13,421",1.5
California,"10,965,856","5,861,203",53.4,"4,567,429",41.7,"418,707",3.8
Colorado,"1,741,368","738,227",42.4,"883,748",50.8,"91,434",5.3
Connecticut,"1,459,525","816,015",55.9,"561,094",38.4,"64,452",4.4
Delaware,"327,622","180,068",55,"137,288",41.9,"8,307",2.5
Dist. of Col.,"201,894","171,923",85.2,"18,073",9,"10,576",5.2
Florida,"5,963,110","2,912,253",48.8,"2,912,790",48.8,"97,488",1.6
Georgia,"2,596,645","1,116,230",43,"1,419,720",54.7,"13,273",0.5
Hawaii,"367,951","205,286",55.8,"137,845",37.5,"21,623",5.9
Idaho,"501,621","138,637",27.6,"336,937",67.2,"12,292",2.5
Illinois,"4,742,123","2,589,026",54.6,"2,019,421",42.6,"103,759",2.2
Indiana,"2,199,302","901,980",41,"1,245,836",56.6,"18,531",0.8
Iowa,"1,315,563","638,517",48.5,"634,373",48.2,"29,374",2.2
Kansas,"1,072,218","399,276",37.2,"622,332",58,"36,086",3.4
Kentucky,"1,544,187","638,898",41.4,"872,492",56.5,"23,192",1.5
Louisiana,"1,765,656","792,344",44.9,"927,871",52.6,"20,473",1.2
Maine,"651,817","319,951",49.1,"286,616",44,"37,127",5.7
Maryland,"2,020,480","1,140,782",56.5,"813,797",40.3,"53,768",2.7
Massachusetts,"2,702,984","1,616,487",59.8,"878,502",32.5,"173,564",6.4
Michigan,"4,232,711","2,170,418",51.3,"1,953,139",46.1,"84,165",2
Minnesota,"2,438,685","1,168,266",47.9,"1,109,659",45.5,"126,696",5.2
Mississippi,"994,184","404,614",40.7,"572,844",57.6,"8,122",0.8
Missouri,"2,359,892","1,111,138",47.1,"1,189,924",50.4,"38,515",1.6
Montana,"410,997","137,126",33.4,"240,178",58.4,"24,437",5.9
Nebraska,"697,019","231,780",33.3,"433,862",62.2,"24,540",3.5
Nevada,"608,970","279,978",46,"301,575",49.5,"15,008",2.5
New Hampshire,"569,081","266,348",46.8,"273,559",48.1,"22,198",3.9
New Jersey,"3,187,226","1,788,850",56.1,"1,284,173",40.3,"94,554",3
New Mexico,"598,605","286,783",47.9,"286,417",47.8,"21,251",3.6
New York,"6,821,999","4,107,697",60.2,"2,403,374",35.2,"244,030",3.6
North Carolina,"2,911,262","1,257,692",43.2,"1,631,163",56,--,0
North Dakota,"288,256","95,284",33.1,"174,852",60.7,"9,486",3.3
Ohio,"4,701,998","2,183,628",46.4,"2,350,363",50,"117,799",2.5
Oklahoma,"1,234,229","474,276",38.4,"744,337",60.3,--,0
Oregon,"1,533,968","720,342",47,"713,577",46.5,"77,357",5
Pennsylvania,"4,913,119","2,485,967",50.6,"2,281,127",46.4,"103,392",2.1
Rhode Island,"409,047","249,508",61,"130,555",31.9,"25,052",6.1
South Carolina,"1,382,717","565,561",40.9,"785,937",56.8,"20,200",1.5
South Dakota,"316,269","118,804",37.6,"190,700",60.3,--,0
Tennessee,"2,076,181","981,720",47.3,"1,061,949",51.1,"19,781",1
Texas,"6,407,637","2,433,746",38,"3,799,639",59.3,"137,994",2.2
Utah,"770,754","203,053",26.3,"515,096",66.8,"35,850",4.7
Vermont,"294,308","149,022",50.6,"119,775",40.7,"20,374",6.9
Virginia,"2,739,447","1,217,290",44.4,"1,437,490",52.5,"59,398",2.2
Washington,"2,487,433","1,247,652",50.2,"1,108,864",44.6,"103,002",4.1
West Virginia,"648,124","295,497",45.6,"336,475",51.9,"10,680",1.6
Wisconsin,"2,598,607","1,242,987",47.8,"1,237,279",47.6,"94,070",3.6
Wyoming,"218,351","60,481",27.7,"147,947",67.8,"4,625",2.1
Totals,"105,396,627","50,992,335",48.4,"50,455,156",47.9,"2,882,738",2.7
